show the top100 hosts of /images/MOSAIC-logosmall.gif
---------------------------------------------
hostname                         	count
---------------------------------------------
edams.ksc.nasa.gov               	  867
163.206.89.4                     	  233
n1144637.ksc.nasa.gov            	  214
163.205.19.20                    	  204
128.217.62.1                     	  203
163.205.3.104                    	  166
n1121796.ksc.nasa.gov            	  136
www-b3.proxy.aol.com             	  134
www-b2.proxy.aol.com             	  133
www-b4.proxy.aol.com             	  128
www-d3.proxy.aol.com             	  125
163.205.11.31                    	  122
piweba4y.prodigy.com             	  120
mpngate1.ny.us.ibm.net           	  120
piweba5y.prodigy.com             	  119
www-d1.proxy.aol.com             	  117
www-b5.proxy.aol.com             	  116
piweba3y.prodigy.com             	  115
www-d4.proxy.aol.com             	  113
www-c5.proxy.aol.com             	  112
www-c2.proxy.aol.com             	  112
www-c1.proxy.aol.com             	  111
www-a1.proxy.aol.com             	  111
163.205.23.76                    	  111
www-d2.proxy.aol.com             	  110
128.159.144.83                   	  110
www-c6.proxy.aol.com             	  109
www-c4.proxy.aol.com             	  109
www-c3.proxy.aol.com             	  108
n1131455.ksc.nasa.gov            	  107
n1376232.ksc.nasa.gov            	  106
n1040681.ksc.nasa.gov            	  106
128.217.62.2                     	  106
163.205.16.75                    	  105
n1123413.ksc.nasa.gov            	  104
163.205.23.93                    	  104
www-a2.proxy.aol.com             	  102
n1123543.ksc.nasa.gov            	  101
163.205.121.3                    	   99
webgate1.mot.com                 	   93
intgate.raleigh.ibm.com          	   92
128.159.132.56                   	   91
derec                            	   89
n1144796.ksc.nasa.gov            	   88
163.206.104.34                   	   88
poppy.hensa.ac.uk                	   87
163.205.154.11                   	   87
n1142702.ksc.nasa.gov            	   86
n1031729.ksc.nasa.gov            	   84
163.205.16.100                   	   84
n1031701.ksc.nasa.gov            	   82
n1123724.ksc.nasa.gov            	   79
n1123209.ksc.nasa.gov            	   79
n1121793.ksc.nasa.gov            	   79
piweba1y.prodigy.com             	   77
n167331.ksc.nasa.gov             	   76
n1031727.ksc.nasa.gov            	   75
128.217.61.15                    	   73
n1144636.ksc.nasa.gov            	   71
n1032026.ksc.nasa.gov            	   71
bensmtp.ksc.nasa.gov             	   71
n1031857.ksc.nasa.gov            	   70
163.206.140.4                    	   70
163.205.23.71                    	   70
128.159.135.73                   	   70
news.ti.com                      	   69
n1028288.ksc.nasa.gov            	   69
n1031627.ksc.nasa.gov            	   68
n1028722.ksc.nasa.gov            	   68
163.205.23.72                    	   68
163.205.12.100                   	   67
pl01265.ksc.nasa.gov             	   66
128.159.146.40                   	   66
n167440.ksc.nasa.gov             	   65
192.77.40.4                      	   65
128.159.122.14                   	   65
163.205.16.90                    	   64
128.217.61.98                    	   64
128.159.63.159                   	   64
128.159.135.38                   	   63
www-proxy.crl.research.digital.com	   62
163.205.1.19                     	   62
palona1.cns.hp.com               	   61
n1032336.ksc.nasa.gov            	   61
n1123732.ksc.nasa.gov            	   60
waldtsvr.ksc.nasa.gov            	   58
n868370.ksc.nasa.gov             	   58
bocagate.bocaraton.ibm.com       	   58
163.205.162.111                  	   57
128.159.168.162                  	   57
128.159.121.41                   	   57
n874797.ksc.nasa.gov             	   56
n1135966.ksc.nasa.gov            	   56
163.205.150.22                   	   56
n1121869.ksc.nasa.gov            	   55
lahal.ksc.nasa.gov               	   55
192.112.22.119                   	   55
128.159.123.58                   	   55
n1121985.ksc.nasa.gov            	   54
163.205.3.38                     	   54
---------------------------------------------
